Start:18:29 09-12
Header Write:18:29 09-12
Loop:18:37:09 09-12 Lat:42.688508985 Long:23.333695293
Coord-Write:18:37 09-12 Lat:42.688448764 Long:23.333605448
Loop:18:37:11 09-12 Lat:42.688448764 Long:23.333605448
Coord-Write:18:37 09-12 Lat:42.688388542 Long:23.333515603
Loop:18:37:13 09-12 Lat:42.688388542 Long:23.333515603
Coord-Write:18:37 09-12 Lat:42.688300694 Long:23.333400056
Loop:18:37:15 09-12 Lat:42.688300694 Long:23.333400056
Coord-Write:18:37 09-12 Lat:42.688202273 Long:23.333241235
Loop:18:37:17 09-12 Lat:42.688202273 Long:23.333241235
Coord-Write:18:37 09-12 Lat:42.688082599 Long:23.333088786
Loop:18:37:19 09-12 Lat:42.688082599 Long:23.333088786
Coord-Write:18:37 09-12 Lat:42.687927912 Long:23.332883396
Loop:18:37:21 09-12 Lat:42.687927912 Long:23.332883396
Coord-Write:18:37 09-12 Lat:42.687849866 Long:23.332783888
Loop:18:37:23 09-12 Lat:42.687849866 Long:23.332783888
Coord-Write:18:37 09-12 Lat:42.687819052 Long:23.332742151
Loop:18:37:25 09-12 Lat:42.687819052 Long:23.332742151
Coord-Write:18:37 09-12 Lat:42.687739994 Long:23.332647475
Loop:18:37:27 09-12 Lat:42.687739994 Long:23.332647475
Coord-Write:18:37 09-12 Lat:42.68770918 Long:23.332605739
Loop:18:37:29 09-12 Lat:42.68770918 Long:23.332605739
Coord-Write:18:37 09-12 Lat:42.687699377 Long:23.332589703
Loop:18:37:31 09-12 Lat:42.687699377 Long:23.332589703
Loop:18:37:33 09-12 Lat:42.687699377 Long:23.332589703
Loop:18:37:35 09-12 Lat:42.687699377 Long:23.332589703
Loop:18:37:37 09-12 Lat:42.687699377 Long:23.332589703
Coord-Write:18:37 09-12 Lat:42.687683201 Long:23.332541596
Loop:18:37:39 09-12 Lat:42.687683201 Long:23.332541596
Coord-Write:18:37 09-12 Lat:42.687638385 Long:23.332472621
Loop:18:37:41 09-12 Lat:42.687638385 Long:23.332472621
Coord-Write:18:37 09-12 Lat:42.687607572 Long:23.332430885
Loop:18:37:43 09-12 Lat:42.687607572 Long:23.332430885
Coord-Write:18:37 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:37:45 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:37:47 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:37:49 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:37:51 09-12 Lat:42.687606802 Long:23.332403646
Loop:18:37:54 09-12 Lat:42.687606802 Long:23.332403646
