pkey,timestamp,lat,long,alt,speed,climb,mode,heading
220,2014-11-26 02:29:58.080695,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
221,2014-11-26 02:29:59.130422,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
222,2014-11-26 02:30:00.184973,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
223,2014-11-26 02:30:01.233343,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
224,2014-11-26 02:30:02.288408,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
225,2014-11-26 02:30:03.346576,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
226,2014-11-26 02:30:04.407119,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
227,2014-11-26 02:30:05.465003,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
228,2014-11-26 02:30:06.527152,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
229,2014-11-26 02:30:07.582204,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
230,2014-11-26 02:30:08.646005,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
231,2014-11-26 02:30:09.703525,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
232,2014-11-26 02:30:10.766346,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
233,2014-11-26 02:30:11.814858,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
234,2014-11-26 02:30:12.863862,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
235,2014-11-26 02:30:13.911300,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
236,2014-11-26 02:30:14.971598,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
237,2014-11-26 02:30:16.017257,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
238,2014-11-26 02:30:17.069656,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
239,2014-11-26 02:30:18.119163,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
240,2014-11-26 02:30:19.173489,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
241,2014-11-26 02:30:20.223976,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
242,2014-11-26 02:30:21.281859,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
243,2014-11-26 02:30:22.337702,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
244,2014-11-26 02:30:23.403002,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
245,2014-11-26 02:30:24.456859,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
246,2014-11-26 02:30:25.524912,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
247,2014-11-26 02:30:26.597733,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
248,2014-11-26 02:30:27.669722,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
249,2014-11-26 02:30:28.729727,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
250,2014-11-26 02:30:29.785740,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
251,2014-11-26 02:30:30.842642,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
252,2014-11-26 02:30:31.894107,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
253,2014-11-26 02:30:32.950809,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
254,2014-11-26 02:30:34.000825,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
255,2014-11-26 02:30:35.047115,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
256,2014-11-26 02:30:36.103965,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
257,2014-11-26 02:30:37.154137,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
258,2014-11-26 02:30:38.201780,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
259,2014-11-26 02:30:39.256834,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
260,2014-11-26 02:30:40.310731,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
261,2014-11-26 02:30:41.369441,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
262,2014-11-26 02:30:42.432914,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
263,2014-11-26 02:30:43.487411,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
264,2014-11-26 02:30:44.551367,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
265,2014-11-26 02:30:45.610168,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
266,2014-11-26 02:30:46.680933,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
267,2014-11-26 02:30:47.735157,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
268,2014-11-26 02:30:48.796393,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
269,2014-11-26 02:30:49.845336,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
270,2014-11-26 02:30:50.908561,42.690708182,23.343589854,566.439,0.0,0.0,3,0.0
